STORE_ID,LONGITUDE,LATITUDE,WEEK,MONTH,YEAR,GPS ENPLANEMENTS,TRUE MONTHLY ENPLANED,WEEKLY ENPLANEMENTS,WEEKLY ADJUSTMENT
MYR,-78.9280844372725,33.6818325467346,1,1,2019,11494.05,58034000,11231295,21.09
OAJ,-77.6131861795967,34.8279061776364,1,1,2019,3500.94,58034000,11231295,21.09
OAK,-122.218528051545,37.7231459812635,1,1,2019,100072.05,58034000,11231295,21.09
OGD,-112.01155260075,41.194824966667,1,1,2019,3458.76,58034000,11231295,21.09
OGG,-156.436092959072,20.894103800798,1,1,2019,48443.73,58034000,11231295,21.09
OGS,-75.4674586986422,44.6842524505485,1,1,2019,906.87,58034000,11231295,21.09
OKC,-97.6022209509183,35.3986496084873,1,1,2019,43086.87,58034000,11231295,21.09
OMA,-95.8932813052766,41.301567323168,1,1,2019,33364.38,58034000,11231295,21.09
ONT,-117.598116939796,34.0570573009492,1,1,2019,41505.12,58034000,11231295,21.09
ORD,-87.9054459224622,41.9731246056501,1,1,2019,485702.7,58034000,11231295,21.09
ORF,-76.2006617486773,36.8949498811981,1,1,2019,24084.78,58034000,11231295,21.09
ORH,-71.8740814254966,42.2650032435337,1,1,2019,2130.09,58034000,11231295,21.09
ORS,-122.909250363252,48.7074686633768,1,1,2019,400.71,58034000,11231295,21.09
OTH,-124.246093773449,43.4157476170537,1,1,2019,1181.04,58034000,11231295,21.09
OWB,-87.1646189903828,37.7385849969965,1,1,2019,1834.83,58034000,11231295,21.09
PAH,-88.7728497673527,37.0604730977722,1,1,2019,801.42,58034000,11231295,21.09
PBG,-73.4652559962748,44.6538771937694,1,1,2019,1476.3,58034000,11231295,21.09
PBI,-80.0947563468737,26.6842567958763,1,1,2019,74004.81,58034000,11231295,21.09
PDX,-122.587996289906,45.5809856706109,1,1,2019,140670.3,58034000,11231295,21.09
PGA,-111.447857086365,36.9259883118705,1,1,2019,337.44,58034000,11231295,21.09
PGD,-81.9923963869812,26.9201835892062,1,1,2019,24063.69,58034000,11231295,21.09
PGV,-77.3841398576393,35.6372125912477,1,1,2019,1708.29,58034000,11231295,21.09
PHF,-76.4958267887568,37.1317993267752,1,1,2019,41673.84,58034000,11231295,21.09
PHL,-75.2407106292946,39.874008085499,1,1,2019,168783.27,58034000,11231295,21.09
PHX,-112.009841220186,33.4349995420187,1,1,2019,331977.69,58034000,11231295,21.09
PIA,-89.6920812456921,40.6637041644638,1,1,2019,9153.06,58034000,11231295,21.09
PIE,-82.6889920647338,27.9100470158929,1,1,2019,36717.69,58034000,11231295,21.09
PIH,-112.589383783572,42.9114724401954,1,1,2019,885.78,58034000,11231295,21.09
PIR,-100.286512377888,44.3816344042199,1,1,2019,485.07,58034000,11231295,21.09
PIT,-80.2416803729863,40.4946172382219,1,1,2019,74932.77,58034000,11231295,21.09
PLN,-84.7914057595604,45.5711003351904,1,1,2019,927.96,58034000,11231295,21.09
PNS,-87.1869055020617,30.473706867059,1,1,2019,23705.16,58034000,11231295,21.09
PQI,-68.0430589532064,46.6894412823274,1,1,2019,253.08,58034000,11231295,21.09
PRC,-112.420358182199,34.6547311793271,1,1,2019,1265.4,58034000,11231295,21.09
PSC,-119.116297953392,46.2601937848027,1,1,2019,10608.27,58034000,11231295,21.09
PSG,-132.942914739983,56.80230417003,1,1,2019,231.99,58034000,11231295,21.09
PSM,-70.8184465869941,43.0798878854738,1,1,2019,5799.75,58034000,11231295,21.09
PSP,-116.508762316932,33.8296887886215,1,1,2019,29462.73,58034000,11231295,21.09
PUB,-104.499332934245,38.2874276568887,1,1,2019,4513.26,58034000,11231295,21.09
PUW,-117.109626221645,46.7449726783616,1,1,2019,906.87,58034000,11231295,21.09
PVC,-70.1687573716739,42.0312763288108,1,1,2019,253.08,58034000,11231295,21.09
PVD,-71.4303014903811,41.7231468428038,1,1,2019,31466.28,58034000,11231295,21.09
PVU,-111.722232870185,40.219102838828,1,1,2019,2762.79,58034000,11231295,21.09
PWM,-70.3086414535678,43.6456398914892,1,1,2019,13624.14,58034000,11231295,21.09
RAP,-103.056766903869,44.0446532620801,1,1,2019,4344.54,58034000,11231295,21.09
RDD,-122.295121284592,40.5099528442822,1,1,2019,1855.92,58034000,11231295,21.09
RDM,-121.151615402458,44.2546392829722,1,1,2019,4703.07,58034000,11231295,21.09
RDU,-78.7874005746589,35.8768832466447,1,1,2019,113485.29,58034000,11231295,21.09
RFD,-89.0988000442094,42.1952889257722,1,1,2019,6095.01,58034000,11231295,21.09
RHI,-89.4747298508332,45.630131446716,1,1,2019,506.16,58034000,11231295,21.09
RIC,-77.320922486172,37.5052189413576,1,1,2019,25750.89,58034000,11231295,21.09
RIW,-108.457935117543,43.0605217308796,1,1,2019,210.9,58034000,11231295,21.09
RKD,-69.0990267841681,44.0604264278375,1,1,2019,168.72,58034000,11231295,21.09
